Control ,Demography/Community,Demography/Respondent-Sex,Demography/Respondent-age,Demography/Status,Demography/highest_education,HH-Composition/hhsize,HH-Composition/no_male,HH-Composition/no_female,HH-Composition/no-infants,HH-Composition/children-under6-months,HH-Composition/children-6-23months,HH-Composition/children-24-59months,HH-Composition/First-child-age,AGE of CHILD,HH-Composition/First-child-MUAC,MUAC,HH-Composition/orphan,HH-Composition/no-elderly-people1,HH-Composition/lactating_women,HH-Composition/0-lactating_women,HH-Composition/pregnant_woman,HH-Composition/chronicall-ill,HH-Composition/no-chronicall-ill-person,HH-Composition/disability,HH-Composition/physically_challenge,HH-Composition/no-physically_challenged,HH-Composition/woman,HH-Composition/reproductive_woman,FCS Categories,hhs/Calculated_HHS,RCSI/RCSI
1,Aburi,Male,60,idp,No-Formal education,3,2,1,0,0,0,0,0,0-6,0,<11.5,0,2,0,0,0,1,1,1,1,0,0,0,Borderline,Moderate Hunger,16
1,Alkaleri,Male,50,returnee,No-Formal education,8,2,6,3,0,1,2,9,6-23,14,>12.5,0,1,0,0,0,0,0,2,1,0,0,0,Acceptable,Little to no hunger,16
1,Aburi,Male,45,idp,No-Formal education,10,6,4,3,1,0,2,6,0-6,12.4,11.5-12.5,0,1,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,15
1,Alkaleri,Male,35,host,Senior-Secondary,3,2,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,20
1,Alkaleri,Male,65,idp,No-Formal education,8,4,4,3,1,0,2,36,24-59,15,>12.5,0,1,1,1,0,0,0,0,0,0,1,1,Acceptable,Little to no hunger,15
0,Alkaleri,Male,30,idp,No-Formal education,5,3,2,2,1,1,0,12,6-23,14,>12.5,1,0,1,1,0,0,0,1,1,0,0,0,Borderline,Little to no hunger,10
1,Alkaleri,Male,40,idp,Junior-Secondary,7,5,2,3,0,1,2,24,24-59,15,>12.5,0,0,0,0,0,0,0,1,1,0,0,0,Poor,Little to no hunger,14
1,Alkaleri,Male,40,idp,Higher-Education,13,5,8,5,2,2,1,48,24-59,14,>12.5,0,1,1,2,0,0,0,2,1,0,0,0,Borderline,Little to no hunger,22
0,Wuyaram,Female,35,returnee,No-Formal education,3,1,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,15
0,Wuyaram,Female,27,idp,No-Formal education,4,1,3,3,1,1,1,6,0-6,13.1,>12.5,1,1,1,1,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,31
1,Wuyaram,Male,35,returnee,Senior-Secondary,3,2,1,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,16
1,Wuyaram,Male,60,returnee,No-Formal education,7,3,4,2,1,1,0,6,0-6,12.2,11.5-12.5,1,0,1,1,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,23
0,Wuyaram,Male,45,returnee,No-Formal education,6,4,2,1,0,0,1,48,24-59,16,>12.5,1,0,0,0,0,0,0,0,0,0,1,0,Poor,Moderate Hunger,27
0,Wuyaram,Female,30,idp,No-Formal education,6,3,3,4,2,1,1,6,0-6,12.8,>12.5,0,0,1,2,0,0,0,0,0,0,1,1,Acceptable,Moderate Hunger,14
1,Wuyaram,Male,33,idp,No-Formal education,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,18
0,Wuyaram,Male,55,returnee,No-Formal education,11,5,6,2,0,1,1,24,24-59,16,>12.5,0,0,0,0,0,0,0,1,1,0,1,1,Acceptable,Little to no hunger,7
1,Wuyaram,Female,30,idp,No-Formal education,8,5,3,5,2,2,1,6,0-6,11,<11.5,0,0,1,2,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,16
1,Alkaleri,Female,50,idp,No-Formal education,9,5,4,1,0,0,1,59,24-59,18,>12.5,1,1,0,0,0,0,0,2,1,0,0,0,Borderline,Little to no hunger,25
1,Aburi,Male,40,idp,No-Formal education,6,2,4,2,1,0,1,14,6-23,12.8,>12.5,0,1,1,1,0,1,2,1,2,2,1,1,Borderline,Moderate Hunger,16
1,Alkaleri,Male,50,idp,Higher-Education,10,5,5,2,0,1,1,24,24-59,16,>12.5,0,2,0,0,1,0,0,2,1,0,0,0,Borderline,Little to no hunger,24
1,Alkaleri,Male,30,returnee,Primary,4,2,2,2,0,1,1,59,24-59,18,>12.5,0,0,0,0,1,0,0,0,0,0,0,0,Borderline,Little to no hunger,20
0,Alkaleri,Male,40,idp,No-Formal education,7,3,4,3,1,1,1,36,24-59,15,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Little to no hunger,15
0,Alkaleri,Male,42,host,Higher-Education,10,6,4,2,0,1,1,24,24-59,15,>12.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,18
0,Alkaleri,Female,35,returnee,No-Formal education,9,6,3,2,0,1,1,36,24-59,15,>12.5,0,1,0,0,1,0,0,0,0,0,1,1,Borderline,Little to no hunger,16
1,Shuwari,Male,55,idp,Higher-Education,7,5,2,1,0,0,1,23,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,13
1,Aburi,Female,35,idp,No-Formal education,7,4,3,2,1,0,1,6,0-6,12.9,>12.5,0,0,1,1,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,15
1,Alkaleri,Male,50,returnee,No-Formal education,6,2,4,3,1,1,1,36,24-59,14,>12.5,0,1,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,32
0,Alkaleri,Female,25,idp,Senior-Secondary,2,1,1,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,8
1,Alkaleri,Female,45,idp,No-Formal education,3,1,2,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,0,0,0,1,2,2,0,0,Borderline,Little to no hunger,23
0,Wuyaram,Male,30,idp,No-Formal education,6,3,3,3,2,1,0,6,0-6,12,11.5-12.5,0,0,1,2,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,19
1,Shuwari,Male,40,host,No-Formal education,7,3,4,0,0,0,0,0,0-6,0,<11.5,0,1,0,0,0,0,0,0,0,0,1,1,Borderline,Moderate Hunger,23
1,Shuwari,Male,40,idp,No-Formal education,7,3,4,2,0,0,2,36,24-59,16.7,>12.5,0,0,0,0,0,0,0,1,1,0,1,1,Acceptable,Moderate Hunger,15
0,Alkaleri,Male,40,returnee,No-Formal education,5,4,1,1,0,0,1,48,24-59,15,>12.5,0,0,0,0,0,1,1,1,1,0,0,0,Borderline,Little to no hunger,22
0,Alkaleri,Male,60,idp,Primary,5,3,2,1,0,0,1,59,24-59,18,>12.5,0,1,0,0,0,0,0,3,1,0,0,0,Borderline,Little to no hunger,19
1,Alkaleri,Female,30,returnee,Senior-Secondary,7,2,5,1,0,0,1,25,24-59,14,>12.5,0,0,1,1,0,1,0,0,0,0,0,0,Borderline,Little to no hunger,15
1,Aburi,Male,60,returnee,No-Formal education,11,4,7,4,2,1,1,8,6-23,12.8,>12.5,1,2,1,2,0,1,1,1,1,0,1,1,Borderline,Moderate Hunger,13
0,Alkaleri,Male,30,idp,Senior-Secondary,5,3,2,3,0,1,2,12,6-23,14,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,28
0,Aburi,Male,40,returnee,No-Formal education,3,1,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,14
0,Aburi,Male,41,returnee,Senior-Secondary,8,4,4,3,1,1,1,9,6-23,13.4,>12.5,0,1,1,1,0,1,1,1,1,0,1,1,Poor,Moderate Hunger,13
1,Aburi,Male,45,returnee,No-Formal education,16,13,3,4,2,2,0,15,6-23,12.5,11.5-12.5,0,0,1,2,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,8
0,Alkaleri,Male,35,returnee,Senior-Secondary,7,3,4,2,0,1,1,48,24-59,17,>12.5,0,0,1,1,0,0,0,0,0,0,0,0,Borderline,Little to no hunger,17
0,Alkaleri,Male,35,idp,Junior-Secondary,5,2,3,2,0,1,1,24,24-59,14,>12.5,0,0,0,0,1,0,0,1,1,0,0,0,Borderline,Little to no hunger,21
0,Shuwari,Female,35,idp,No-Formal education,8,2,6,3,0,1,2,48,24-59,18.5,>12.5,0,0,0,0,0,0,0,1,1,0,1,0,Borderline,Moderate Hunger,21
1,Shuwari,Female,45,returnee,No-Formal education,5,2,3,0,0,0,0,0,0-6,0,<11.5,1,0,0,0,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,27
1,Shuwari,Male,30,idp,No-Formal education,4,2,2,1,1,0,0,0,0-6,0,<11.5,0,0,1,1,1,0,0,0,0,0,1,1,Poor,Moderate Hunger,17
0,Shuwari,Male,50,idp,Senior-Secondary,17,6,11,4,1,1,2,13,6-23,11,<11.5,1,2,1,2,0,1,2,0,0,0,1,1,Poor,Moderate Hunger,21
1,Shuwari,Male,50,idp,Primary,11,3,8,4,0,2,2,8,6-23,12,11.5-12.5,0,1,1,2,0,0,0,0,0,0,0,0,Borderline,Moderate Hunger,12
1,Shuwari,Male,40,returnee,Senior-Secondary,8,3,5,0,0,0,0,0,0-6,0,<11.5,0,0,0,0,1,0,0,0,0,0,1,1,Borderline,Moderate Hunger,25
1,Shuwari,Male,45,idp,No-Formal education,6,4,2,2,1,1,0,6,0-6,13,>12.5,1,1,1,1,0,0,0,0,0,0,1,1,Poor,Moderate Hunger,21
1,Shuwari,Male,55,idp,No-Formal education,9,4,5,1,0,0,1,44,24-59,15.6,>12.5,0,0,0,0,0,0,0,0,0,0,1,1,Acceptable,Little to no hunger,12
