Scenario,Store1,Store2,IntentionToSwitch12Months,SelectedStore,Network Provider,FTTC/FTTP,age,Network,TariffType,BB_provider,TV_provider,Store1_exp_key,Store2_exp_key,Store1_Plan,Store1_Addons,Tariff,Store1_TariffSpend,Store1_UpfrontSpend,Store1_AddonsSpend,Store1_DataAllowance,Store1_ContractLength,Store1_TotalMonthlySpend,Store1_Mutation_Upfront,Store1_Mutation_StartingPrice,Store1_Mutation_F1 to F2,Store1_Mutation_F2 to F3,Store1_Mutation_F36 to F55,Store1_Mutation_F55 to F150,Store1_Mutation_F150 to F300,Store1_Mutation_F300 to F500,Store1_Mutation_F500 to F900,Store1_Mutation_Complete WiFi,Store1_Mutation_Hybrid Connect,Store1_Mutation_Cyber Indivudual,Store1_Mutation_Cyber Multiple,Store1_Mutation_In Home,Store1_Mutation_WiFi Prioritise,Store1_Mutation_Bundle Better,Store1_Mutation_Bundle Price,Store1_Mutation_Competitor Price,Store2_Plan,Store2_Addons,Store2_TariffSpend,Store2_UpfrontSpend,Store2_AddonsSpend,Store2_DataAllowance,Store2_ContractLength,Store2_TotalMonthlySpend,Store2_Mutation_Upfront,Store2_Mutation_StartingPrice,Store2_Mutation_F1 to F2,Store2_Mutation_F2 to F3,Store2_Mutation_F36 to F55,Store2_Mutation_F55 to F150,Store2_Mutation_F150 to F300,Store2_Mutation_F300 to F500,Store2_Mutation_F500 to F900,Store2_Mutation_Complete WiFi,Store2_Mutation_Hybrid Connect,Store2_Mutation_Cyber Indivudual,Store2_Mutation_Cyber Multiple,Store2_Mutation_In Home,Store2_Mutation_WiFi Prioritise,Store2_Mutation_Bundle Better,Store2_Mutation_Bundle Price,Store2_Mutation_Competitor Price,mobile_provider_years,mobile_provider_months,mobile_plan_years,mobile_plan_months,mobile_contract_length,mobile_contract_expiry,mobile_data_allowance,mobile_data_usage,mobile_airtime_usage,mobile_spend,mobile_beh_socialMedia,mobile_beh_messaging,mobile_beh_blogs,mobile_beh_videos,mobile_beh_movies,mobile_beh_hotspot,mobile_beh_voice_video_chat,mobile_nwp_satisfaction,mobile_handset_make,bb_spend,bb_provider_satisfaction,bb_speed,bb_fibre_available,tech_seg_statement1,tech_seg_statement2,purchase_location_handset,purchase_location_mobileplan,purchase_location_Broadband,purchase_location_Tvsubscription,gender,marital_status,householdage1,householdage2,householdage3,householdage4,householdage5,householdage6,N_bedrooms,currentLocation_Year,currentLocation_Month,working_status,personal_income,house_location,ukregion,ChiefIncomeEarner
0,EE,BT,10,BT,EE,FTTP,28,No. 15,No. 3,No. 1,No. 21,EE_NAYAN,COMPETITOR_BT,FULL_FIBRE_500,CYBER_INDIVIDUAL,23.00,40.99,39.99,4.00,No. NA,24.00,44.99,3,2,No. NA,No. NA,1,3,2,3,2,No. NA,1,1,0,0,0,0,1,No. NA,PLAN_FIBRE_1,No. NA,23.00,0.00,0.00,No. NA,24.00,23.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,1.00,0.00,0.00,1.00,3.00,No. 2,No. 4,No. 3,No. 5,23.00,No. 1,No. 2,No. 2,No. 1,No. 3,No. 1,No. 4,5.00,No. 3,23.00,3.00,No. 3,3,No. 5,No. 6,No. 3,No. 2,No. 2,No. 3,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 1,2.00,3.00,0.00,No. 6,No. 2,No. 5,No. 3,No. 4
0,Sky,EE,5,EE,EE,FTTC,50,No. 15,No. 1,No. 6,No. 3,COMPETITOR_SKY_FTTC,EE_NAYAN_FTTC,PLAN_SUPERFAST,No. NA,27.99,31.00,0.00,0.00,No. NA,18.00,31.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,FIBRE_3,No. NA,27.99,29.99,0.00,No. NA,24.00,27.99,4,2,2,0,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,1,0,0,1,2,1,No. NA,10.00,5.00,1.00,3.00,6.00,No. 4,No. 11,No. 8,No. 5,50.00,No. 4,No. 4,No. 1,No. 3,No. 2,No. 2,No. 1,4.00,No. 1,30.00,4.00,No. 7,7,No. 4,No. 4,No. 2,No. 2,No. 2,No. 2,No. 1,No. 2,No. 0,No. 0,No. 0,No. 0,No. 0,No. 1,2.00,29.00,3.00,No. 1,No. 2,No. 4,No. 7,No. 4
0,EE,Sky,0,Sky,O2,FTTP,59,No. 14,No. 4,No. 5,No. 8,EE_NAYAN_4,COMPETITOR_SKY,FULL_FIBRE_150,HPP_UNLIM,29.00,27.99,19.99,10.00,No. NA,24.00,37.99,0,0,No. NA,No. NA,3,1,1,4,2,No. NA,0,1,0,1,1,2,2,No. NA,PLAN_SUPERFAST,No. NA,29.00,0.00,0.00,No. NA,18.00,29.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,11.00,5.00,11.00,0.00,1.00,No. 1,No. 11,No. 8,No. 5,10.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,6.00,No. 8,35.00,5.00,No. 7,7,No. 7,No. 1,No. 1,No. 3,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 3,1.00,20.00,0.00,No. 1,No. 4,No. 3,No. 6,No. 4
0,EE,Virgin,0,Virgin,Other,FTTP,29,No. 11,No. 1,No. 3,No. 8,EE_NAYAN_4,COMPETITOR_VIRGIN,FULL_FIBRE_1000,"WHOLE_HOME_WIFI,ALL_ROUNDER_BUNDLE",50.00,48.99,0.00,30.00,No. NA,24.00,78.99,2,8,No. NA,No. NA,3,2,0,3,0,No. NA,1,1,0,1,1,2,1,No. NA,PLAN_GIG1,No. NA,50.00,0.00,0.00,No. NA,18.00,50.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,4.00,4.00,1.00,4.00,4.00,No. 4,No. 4,No. 3,No. 1,52.00,No. 5,No. 4,No. 3,No. 3,No. 1,No. 1,No. 2,3.00,No. 10,52.00,3.00,No. 6,No. NA,No. 7,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 3,4.00,9.00,9.00,No. 1,No. 3,No. 1,No. 12,No. 3
0,EE,Vodafone,5,Vodafone,O2,FTTP,28,No. 14,No. 1,No. 7,No. 8,EE_NAYAN_3,COMPETITOR_VODAFONE,FULL_FIBRE_55,No. NA,30.00,29.99,29.99,0.00,No. NA,24.00,29.99,4,4,No. NA,No. NA,3,2,3,0,3,No. NA,0,0,0,1,1,0,0,No. NA,PLAN_8,No. NA,30.00,0.00,0.00,25000,24.00,30.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,4.00,1.00,4.00,1.00,3.00,No. 1,No. 2,No. 3,No. 2,50.00,No. 8,No. 8,No. 8,No. 8,No. 8,No. 8,No. 8,5.00,No. 1,25.00,4.00,No. 2,2,No. 5,No. 5,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 1,No. 0,No. 0,No. 0,No. 0,No. 2,4.00,1.00,0.00,No. 1,No. 4,No. 2,No. 3,No. 2
0,EE,Virgin,5,Virgin,Other,FTTP,69,No. 18,No. 2,No. 1,No. 5,EE_NAYAN_3,COMPETITOR_VIRGIN,FULL_FIBRE_55,"CYBER_INDIVIDUAL,ALL_ROUNDER_BUNDLE",38.00,28.99,29.99,12.00,No. NA,24.00,40.99,4,5,No. NA,No. NA,1,0,2,2,2,No. NA,1,0,0,1,1,0,1,No. NA,PLAN_VOLT_M200,No. NA,38.00,0.00,0.00,No. NA,18.00,38.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,1,5.00,3.00,5.00,1.00,3.00,No. 1,No. 1,No. 1,No. 1,7.00,No. 3,No. 3,No. 2,No. 3,No. 1,No. 1,No. 1,5.00,No. 10,35.00,4.00,No. 3,3,No. 4,No. 4,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,1.00,37.00,4.00,No. 7,No. 6,No. 4,No. 7,No. 1
1,BT,EE,0,BT,Other,FTTC,40,No. 8,No. 2,No. 1,No. 1,COMPETITOR_BT_FTTC,EE_NAYAN_FTTC,PLAN_FIBRE_2,No. NA,28.00,28.00,0.00,0.00,No. NA,24.00,33.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,FIBRE_3,"WIFI_PRIORITISE,HPP_PAYG",26.99,29.99,8.00,No. NA,24.00,34.99,4,0,0,3,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,0,0,0,0,0,0,No. NA,5.00,0.00,5.00,0.00,1.00,No. 1,No. 2,No. 8,No. 3,12.00,No. 1,No. 4,No. 4,No. 5,No. 5,No. 3,No. 5,6.00,No. 1,30.00,6.00,No. 7,7,No. 7,No. 1,No. 2,No. 2,No. 3,No. 3,No. 2,No. 1,No. 1,No. 0,No. 1,No. 1,No. 2,No. 5,3.00,15.00,0.00,No. 6,No. 2,No. 2,No. 6,No. 6
0,EE,Sky,5,EE,Other,FTTC,59,No. 8,No. 1,No. 2,No. 3,EE_NAYAN_FTTC,COMPETITOR_SKY_FTTC,FIBRE_1,TV_ENTERTAINMENT,27.99,27.99,69.99,0.00,No. NA,24.00,44.99,3,6,2,0,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,0,1,0,0,0,1,2,No. NA,PLAN_SUPERFAST,No. NA,24.00,0.00,0.00,No. NA,18.00,24.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,5,4.00,2.00,0.00,7.00,3.00,No. 3,No. 2,No. 2,No. 2,9.00,No. 4,No. 5,No. 4,No. 2,No. 1,No. 1,No. 1,6.00,No. 10,25.00,6.00,No. 4,5,No. 6,No. 2,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,36.00,2.00,No. 2,No. 5,No. 2,No. 2,No. 3
0,Vodafone,EE,0,Vodafone,Other,FTTP,84,No. 8,No. 4,No. 1,No. 5,COMPETITOR_VODAFONE,EE_NAYAN_2,PLAN_5,ANYTIME_LANDLINE,19.00,19.00,0.00,8.00,6000,24.00,27.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,FULL_FIBRE_150,HPP_700_MINS,27.99,29.99,8.00,No. NA,24.00,35.99,4,3,No. NA,No. NA,1,0,2,2,No. NA,No. NA,0,1,1,0,1,2,0,No. NA,11.00,0.00,11.00,0.00,1.00,No. 1,No. 11,No. 8,No. 2,7.00,No. 1,No. 1,No. 1,No. 1,No. 1,No. 1,No. 3,5.00,No. 10,30.00,6.00,No. 4,7,No. 6,No. 2,No. 1,No. 1,No. 3,No. 3,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,3.00,29.00,5.00,No. 7,No. 3,No. 3,No. 13,No. 7
0,Sky,EE,6,Sky,Other,FTTP,49,No. 8,No. 1,No. 2,No. 3,COMPETITOR_SKY,EE_NAYAN_2,PLAN_SUPERFAST,No. NA,22.00,22.00,0.00,0.00,No. NA,18.00,22.00,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,No. NA,6,FULL_FIBRE_36,No. NA,21.99,9.99,0.00,No. NA,24.00,21.99,6,0,No. NA,No. NA,0,3,3,3,No. NA,No. NA,1,1,0,0,0,1,1,No. NA,2.00,5.00,2.00,11.00,6.00,No. 3,No. 3,No. 2,No. 2,37.00,No. 4,No. 2,No. 3,No. 5,No. 3,No. 4,No. 2,4.00,No. 10,28.00,5.00,No. 2,2,No. 5,No. 3,No. 2,No. 2,No. 2,No. 2,No. 2,No. 1,No. 0,No. 0,No. 0,No. 0,No. 0,No. 2,2.00,12.00,6.00,No. 1,No. 5,No. 2,No. 5,No. 3
