,"Impact of 'condition_name' on
'selected_LANDLINE_ONLY'",condition_name,demogAge,BB_current_time_with_provider_abs,BB_current_plan_Fast Fibre Broadband (Up to 100Mb/s)
0,-0.0868862590958297,2) LL add-on at £1,73,0.916666667,1
1,-0.38205392713919795,2) LL add-on at £1,46,0.083333333,0
2,-0.07368749444363935,2) LL add-on at £1,70,5.5,0
3,-0.23436569453667086,2) LL add-on at £1,70,6.0,0
4,-0.11169064201813363,2) LL add-on at £1,67,4.416666667,0
5,-0.05753532848675688,2) LL add-on at £1,70,10.0,0
6,-0.07450839578918836,2) LL add-on at £1,58,11.0,1
7,-0.18541742466425,2) LL add-on at £1,66,5.583333333,0
8,-0.061553910177331674,2) LL add-on at £1,72,10.0,0
9,-0.19018086625151803,2) LL add-on at £1,49,11.0,0
10,-0.17246728825669924,2) LL add-on at £1,42,3.416666667,0
11,-0.004094728098948323,2) LL add-on at £1,69,0.583333333,0
12,-0.05031112544952775,2) LL add-on at £1,72,11.0,0
13,-0.128767618518316,2) LL add-on at £1,72,11.83333333,1
14,-0.24632007332968325,2) LL add-on at £1,51,2.416666667,0
15,-0.09027410687379515,2) LL add-on at £1,69,11.91666667,1
16,-0.07102345180926287,2) LL add-on at £1,63,0.416666667,0
17,-0.09925418429964622,2) LL add-on at £1,69,3.0,0
18,-0.07887453527488425,2) LL add-on at £1,70,3.25,1
19,-0.2502454084132005,2) LL add-on at £1,66,8.333333333,0
20,-0.15761088504053414,2) LL add-on at £1,56,11.0,0
21,-0.10052196466334312,2) LL add-on at £1,60,0.666666667,0
22,-0.12490849831114538,2) LL add-on at £1,68,11.0,1
23,-0.21313924075379923,2) LL add-on at £1,61,9.5,0
24,-0.24578423445328904,2) LL add-on at £1,70,1.5,0
25,-0.08178358794450183,2) LL add-on at £1,67,11.91666667,1
26,-0.0740790904526054,2) LL add-on at £1,51,5.916666667,0
27,-0.18664417573543982,2) LL add-on at £1,66,11.91666667,0
28,-0.08181161220198185,2) LL add-on at £1,69,11.0,0
29,-0.20197974233149663,2) LL add-on at £1,50,8.0,1
30,-0.15056884099194665,2) LL add-on at £1,52,4.0,0
31,-0.17016776141185372,2) LL add-on at £1,70,2.333333333,1
32,-0.1395994852760743,2) LL add-on at £1,55,1.333333333,0
33,0.024544543385545025,2) LL add-on at £1,51,11.0,0
34,-0.2531921191023488,2) LL add-on at £1,54,4.166666667,1
35,-0.20723059868002144,2) LL add-on at £1,56,6.166666667,1
36,-0.04811046592486561,2) LL add-on at £1,54,11.58333333,1
37,-0.11770115681917116,2) LL add-on at £1,69,3.5,0
38,-0.11495495121568286,2) LL add-on at £1,27,2.25,0
39,0.00599157213537528,2) LL add-on at £1,72,11.0,0
40,-0.10837081785314251,2) LL add-on at £1,66,4.5,0
41,-0.24965244546007517,2) LL add-on at £1,48,0.5,0
42,-0.28138139659639966,2) LL add-on at £1,52,11.0,1
43,-0.2833123492315296,2) LL add-on at £1,65,8.166666667,1
44,-0.16927425057126935,2) LL add-on at £1,63,2.166666667,0
45,-0.15786207463514906,2) LL add-on at £1,63,2.416666667,1
46,-0.15123657023997736,2) LL add-on at £1,60,11.0,1
47,-0.1277287042926992,2) LL add-on at £1,66,11.0,1
48,-0.11982205394978046,2) LL add-on at £1,65,11.0,1
49,-0.16336214225394732,2) LL add-on at £1,48,6.0,1
50,-0.12546175520186303,2) LL add-on at £1,45,6.333333333,1
51,-0.1374057756620931,2) LL add-on at £1,53,11.0,0
52,-0.04887188593000103,2) LL add-on at £1,74,3.583333333,0
53,-0.35501292735345624,2) LL add-on at £1,61,3.5,0
54,-0.20238384592940922,2) LL add-on at £1,69,4.25,0
55,-0.13212925313863885,2) LL add-on at £1,68,10.0,0
56,0.050654309105523175,2) LL add-on at £1,51,2.5,1
57,-0.07207758860160288,2) LL add-on at £1,65,7.416666667,0
58,-0.16002747182074947,2) LL add-on at £1,66,2.25,1
59,-0.14417958035973188,2) LL add-on at £1,65,4.5,1
60,-0.09633831060444979,2) LL add-on at £1,63,11.0,0
61,0.2502650093392848,2) LL add-on at £1,69,11.0,0
62,-0.2469550068146112,2) LL add-on at £1,52,7.5,0
63,-0.1829827413159843,2) LL add-on at £1,62,5.25,1
64,-0.20749810865206986,2) LL add-on at £1,66,1.416666667,1
65,-0.17283525708885614,2) LL add-on at £1,65,11.0,1
66,0.03237240344830421,2) LL add-on at £1,71,3.0,0
67,-0.14980346867441843,2) LL add-on at £1,60,11.0,0
68,-0.07003215799007728,2) LL add-on at £1,70,11.0,0
69,-0.21283365692351217,2) LL add-on at £1,37,0.25,0
70,-0.04044628701133483,2) LL add-on at £1,71,9.333333333,0
71,-0.035040196569584854,2) LL add-on at £1,67,2.0,0
72,-0.19640599349390303,2) LL add-on at £1,34,2.083333333,1
73,-0.17337403270322374,2) LL add-on at £1,50,5.0,1
74,-0.2134183063641184,2) LL add-on at £1,64,1.5,1
75,-0.25399749629939355,2) LL add-on at £1,66,11.91666667,0
76,-0.161456764847385,2) LL add-on at £1,61,0.083333333,0
77,-0.19786769576897295,2) LL add-on at £1,41,5.5,1
78,-0.17507802433331357,2) LL add-on at £1,63,3.5,1
79,-0.1624913878919809,2) LL add-on at £1,66,11.0,0
80,-0.27583584025622676,2) LL add-on at £1,30,6.333333333,0
81,-0.07446909595681188,2) LL add-on at £1,36,8.083333333,0
82,-0.1612173411607236,2) LL add-on at £1,65,8.0,0
83,-0.02351577997424582,2) LL add-on at £1,73,11.0,0
84,-0.25973977668228493,2) LL add-on at £1,61,0.5,0
85,-0.1055235599090999,2) LL add-on at £1,62,0.083333333,1
86,-0.16599025631822176,2) LL add-on at £1,37,2.0,0
87,-0.09043829959712398,2) LL add-on at £1,18,2.0,0
88,-0.2184959500877123,2) LL add-on at £1,37,0.583333333,1
89,-0.10360546404254828,2) LL add-on at £1,62,11.0,0
90,-0.2113459631495846,2) LL add-on at £1,49,3.0,0
91,-0.06362801746679958,2) LL add-on at £1,67,1.333333333,0
92,-0.009175944693013064,2) LL add-on at £1,34,11.83333333,0
