spending,nudge,age,male,education_level,income
7.51,1,19,1,1,6.70
11.34,0,44,0,0,4.65
13.45,1,35,0,3,3.51
3.53,1,25,1,2,8.92
8.87,0,28,1,0,2.47
10.10,0,34,0,3,1.39
12.13,0,40,0,1,0.83
11.57,1,20,0,3,5.56
11.27,1,41,1,2,5.61
10.13,0,56,0,1,3.12
3.98,0,21,1,1,4.48
11.79,1,52,0,3,3.17
7.20,0,26,1,5,8.65
3.50,0,67,1,3,5.37
8.09,1,25,1,5,8.81
12.99,0,51,0,4,0.28
12.77,0,30,1,0,0.83
5.88,0,37,1,1,0.05
12.96,1,39,1,4,7.94
7.63,1,18,1,0,8.55
8.58,1,64,1,2,3.99
12.19,0,43,1,4,7.73
8.53,1,47,1,5,6.26
13.00,1,37,0,4,6.77
11.36,0,23,0,5,6.30
9.21,1,32,1,5,3.93
7.52,1,19,1,1,4.66
11.45,1,22,0,2,5.73
12.36,1,34,0,3,6.94
12.23,0,31,0,1,0.45
11.15,1,24,0,0,3.77
11.95,1,55,0,3,2.54
7.18,0,58,1,4,9.17
6.07,1,41,1,3,8.89
11.99,1,43,0,1,5.78
12.82,1,36,1,3,6.77
9.72,1,32,1,5,8.02
13.16,0,40,0,2,2.84
14.48,1,45,1,2,0.67
8.03,0,57,1,2,9.39
7.07,1,31,1,3,7.19
15.89,0,64,1,5,3.52
11.08,1,34,0,2,9.91
13.62,1,51,0,3,2.32
11.52,1,26,0,2,9.52
13.84,0,52,1,1,5.40
12.48,0,41,0,2,1.28
12.78,0,33,0,3,7.17
7.50,1,24,1,1,6.69
13.94,0,57,0,0,1.25
12.00,1,59,0,4,2.52
9.97,0,55,0,0,7.01
7.17,1,62,1,2,9.16
12.65,1,61,0,2,6.81
13.45,1,57,0,3,9.42
13.75,0,50,0,3,8.77
13.20,0,38,0,4,1.43
10.86,0,25,0,1,6.89
10.43,0,63,1,4,0.43
12.16,1,39,1,2,7.09
11.65,0,20,0,1,3.69
11.24,1,45,1,0,1.69
10.22,0,38,0,5,1.65
14.04,0,63,0,5,1.36
11.71,0,45,1,1,4.75
11.66,0,61,0,4,5.92
13.86,0,62,0,1,7.06
9.44,0,63,1,2,4.04
5.73,1,25,1,4,0.49
12.29,0,40,0,5,1.00
7.65,0,61,1,1,9.11
10.99,0,26,0,2,5.72
10.98,1,35,0,4,3.05
8.07,1,26,1,5,4.29
6.15,0,55,1,0,8.15
13.89,1,60,0,2,4.11
13.33,0,55,0,2,6.02
9.20,0,32,1,2,2.26
12.79,1,28,0,5,7.32
8.48,1,40,1,1,0.69
11.12,1,41,0,0,2.40
12.39,1,59,0,3,5.25
10.44,0,27,0,2,3.40
9.97,0,26,0,4,6.99
12.59,1,27,1,5,7.19
12.08,0,61,1,0,6.20
3.52,1,27,1,1,7.01
11.70,1,32,0,1,6.77
10.20,1,30,0,4,4.47
13.15,1,59,0,1,2.06
14.83,1,41,1,1,3.61
6.01,1,40,1,4,1.78
6.64,0,44,1,1,1.42
8.98,0,67,1,3,7.61
4.82,1,26,1,2,6.37
10.53,1,25,0,1,0.30
10.94,0,24,1,4,0.71
10.15,1,46,1,4,2.92
7.09,1,47,1,4,4.32
13.72,1,54,1,2,3.17
11.20,0,44,1,5,5.88
14.45,0,56,0,4,0.58
4.29,1,23,1,0,1.97
10.79,0,19,0,0,7.99
6.98,1,39,1,2,3.85
14.98,0,58,0,0,8.36
13.01,0,38,0,3,2.12
11.58,1,34,1,2,3.08
10.56,1,24,1,3,3.75
6.10,1,25,1,5,6.12
10.01,0,21,0,2,6.99
11.90,0,27,0,5,1.25
8.48,1,39,1,4,0.84
13.46,0,39,0,3,5.69
6.53,0,46,1,4,5.48
12.15,0,24,0,2,3.20
15.20,1,61,0,1,9.47
11.67,1,27,0,4,3.84
10.89,1,40,0,3,9.35
10.05,1,25,0,5,6.98
5.27,0,32,1,4,5.42
10.45,0,18,0,4,9.72
5.82,0,45,1,4,0.08
13.91,1,57,0,4,0.83
13.52,0,35,0,5,7.62
15.59,1,61,0,4,9.03
6.54,1,61,1,5,5.58
13.69,0,63,0,0,1.06
11.14,1,25,0,3,7.16
12.73,1,44,0,1,9.50
7.84,1,29,1,1,9.05
13.15,0,65,1,3,2.17
11.53,0,38,1,1,6.52
9.04,1,25,1,2,5.01
10.24,0,33,0,4,3.65
12.51,1,62,0,3,3.18
5.60,1,33,1,1,9.46
3.89,0,34,1,4,7.96
9.65,0,66,1,1,2.41
11.05,1,55,0,2,8.40
12.26,0,35,0,2,2.81
11.09,1,23,0,2,7.97
11.69,0,21,0,3,3.48
6.62,1,33,1,2,6.96
11.35,0,36,0,4,7.87
13.29,0,52,0,2,9.64
11.07,0,45,0,2,0.91
9.00,1,24,1,2,1.14
6.24,1,67,1,5,6.11
9.31,0,35,1,3,2.30
12.64,0,30,0,3,7.22
11.57,0,32,0,0,8.53
10.47,1,37,1,1,4.91
10.65,1,51,0,5,1.47
10.66,0,47,0,1,3.29
